X,Y,Z
-4.100929672,1.871667296,-1.920174653
-4.100944649,1.8716653,-1.923410097
-4.100959627,1.871663303,-1.926645542
-4.100975966,1.871661126,-1.930175118
-4.100990943,1.871659129,-1.933410562
-4.101005921,1.871657133,-1.936646007
-4.101020898,1.871655136,-1.939881452
-4.101035876,1.87165314,-1.943116896
-4.101052215,1.871650962,-1.946646472
-4.101067192,1.871648965,-1.949881917
-4.10108217,1.871646969,-1.953117361
-4.101097147,1.871644973,-1.956352806
-4.101113486,1.871642795,-1.959882382
-4.101128464,1.871640798,-1.963117827
-4.101143441,1.871638802,-1.966353271
-4.101158419,1.871636805,-1.969588716
-4.101173396,1.871634809,-1.97282416
-4.101189735,1.871632631,-1.976353736
-4.101204713,1.871630635,-1.979589181
-4.10121969,1.871628638,-1.982824625
-4.101234668,1.871626642,-1.98606007
-4.101251007,1.871624464,-1.989589646
-4.101265984,1.871622468,-1.992825091
-4.101280962,1.871620471,-1.996060535
-4.101295939,1.871618475,-1.99929598
-4.101310917,1.871616478,-2.002531424
-4.101327256,1.8716143,-2.006061
-4.101342234,1.871612304,-2.009296445
-4.101357211,1.871610307,-2.012531889
-4.101372189,1.871608311,-2.015767334
-4.101388528,1.871606133,-2.01929691
-4.101403505,1.871604137,-2.022532355
-4.101418483,1.87160214,-2.025767799
-4.10143346,1.871600144,-2.029003244
-4.101448438,1.871598147,-2.032238688
-4.101464777,1.87159597,-2.035768264
-4.101479754,1.871593973,-2.039003709
-4.101494732,1.871591977,-2.042239153
-4.101509709,1.87158998,-2.045474598
-4.101526048,1.871587802,-2.049004174
-4.101541026,1.871585806,-2.052239619
-4.101556003,1.871583809,-2.055475063
-4.101570981,1.871581813,-2.058710508
-4.101585958,1.871579817,-2.061945952
-4.101602297,1.871577639,-2.065475528
-4.101617275,1.871575642,-2.068710973
-4.101632252,1.871573646,-2.071946418
-4.10164723,1.871571649,-2.075181862
-4.101663569,1.871569472,-2.078711438
-4.101678546,1.871567475,-2.081946883
-4.101693524,1.871565479,-2.085182327
-4.101708501,1.871563482,-2.088417772
-4.101723479,1.871561486,-2.091653216
-4.101739818,1.871559308,-2.095182792
-4.101754795,1.871557312,-2.098418237
-4.101769773,1.871555315,-2.101653682
-4.10178475,1.871553319,-2.104889126
-4.101801089,1.871551141,-2.108418702
-4.101816067,1.871549144,-2.111654147
-4.101831044,1.871547148,-2.114889591
-4.101846022,1.871545151,-2.118125036
-4.101860999,1.871543155,-2.12136048
-4.101877338,1.871540977,-2.124890056
-4.101892316,1.871538981,-2.128125501
-4.101907293,1.871536984,-2.131360946
-4.101922271,1.871534988,-2.13459639
-4.101937248,1.871532991,-2.137831835
-4.101953587,1.871530814,-2.141361411
-4.101968565,1.871528817,-2.144596855
-4.101983542,1.871526821,-2.1478323
-4.10199852,1.871524824,-2.151067744
-4.102014859,1.871522646,-2.15459732
-4.102029836,1.87152065,-2.157832765
-4.102044814,1.871518654,-2.16106821
-4.102059791,1.871516657,-2.164303654
-4.102074769,1.871514661,-2.167539099
-4.102091108,1.871512483,-2.171068675
-4.102106086,1.871510486,-2.174304119
-4.102121063,1.87150849,-2.177539564
-4.10213604,1.871506493,-2.180775008
-4.10215238,1.871504316,-2.184304584
-4.102167357,1.871502319,-2.187540029
-4.102182335,1.871500323,-2.190775474
-4.102197312,1.871498326,-2.194010918
-4.10221229,1.87149633,-2.197246363
-4.102228629,1.871494152,-2.200775939
-4.102243606,1.871492156,-2.204011383
-4.102258584,1.871490159,-2.207246828
-4.102273561,1.871488163,-2.210482273
-4.1022899,1.871485985,-2.214011848
-4.102304878,1.871483988,-2.217247293
-4.102319855,1.871481992,-2.220482738
-4.102334833,1.871479995,-2.223718182
-4.10234981,1.871477999,-2.226953627
-4.102366149,1.871475821,-2.230483203
-4.102381127,1.871473825,-2.233718647
-4.102396104,1.871471828,-2.236954092
-4.102411082,1.871469832,-2.240189537
-4.102427421,1.871467654,-2.243719112
-4.102442398,1.871465658,-2.246954557
-4.102457376,1.871463661,-2.250190002
-4.102472353,1.871461665,-2.253425446
-4.102487331,1.871459668,-2.256660891
-4.10250367,1.87145749,-2.260190467
-4.102518647,1.871455494,-2.263425911
-4.102533625,1.871453498,-2.266661356
-4.102548602,1.871451501,-2.269896801
-4.102564941,1.871449323,-2.273426377
-4.102579919,1.871447327,-2.276661821
-4.102594896,1.87144533,-2.279897266
-4.102609874,1.871443334,-2.28313271
-4.102624851,1.871441337,-2.286368155
-4.10264119,1.87143916,-2.289897731
-4.102656168,1.871437163,-2.293133175
-4.102671145,1.871435167,-2.29636862
-4.102686123,1.87143317,-2.299604065
-4.102702462,1.871430992,-2.303133641
-4.102717439,1.871428996,-2.306369085
-4.102732417,1.871427,-2.30960453
-4.102747394,1.871425003,-2.312839974
-4.102762372,1.871423007,-2.316075419
-4.102778711,1.871420829,-2.319604995
-4.102793688,1.871418832,-2.322840439
-4.102808666,1.871416836,-2.326075884
-4.102823643,1.87141484,-2.329311329
-4.102838621,1.871412843,-2.332546773
-4.10285496,1.871410665,-2.336076349
-4.102869938,1.871408669,-2.339311794
-4.102884915,1.871406672,-2.342547238
-4.102899892,1.871404676,-2.345782683
-4.102916232,1.871402498,-2.349312259
-4.102931209,1.871400502,-2.352547703
-4.102946187,1.871398505,-2.355783148
-4.102961164,1.871396509,-2.359018593
-4.102976142,1.871394512,-2.362254037
-4.102992481,1.871392334,-2.365783613
-4.103007458,1.871390338,-2.369019058
-4.103022436,1.871388342,-2.372254502
-4.103037413,1.871386345,-2.375489947
-4.103053752,1.871384167,-2.379019523
-4.10306873,1.871382171,-2.382254967
-4.103083707,1.871380174,-2.385490412
-4.103098685,1.871378178,-2.388725857
-4.103113662,1.871376182,-2.391961301
-4.103130001,1.871374004,-2.395490877
-4.103144979,1.871372007,-2.398726322
-4.103159956,1.871370011,-2.401961766
-4.103174934,1.871368014,-2.405197211
-4.103191273,1.871365836,-2.408726787
-4.10320625,1.87136384,-2.411962232
-4.103221228,1.871361844,-2.415197676
-4.103236205,1.871359847,-2.418433121
-4.103251183,1.871357851,-2.421668565
-4.103267522,1.871355673,-2.425198141
-4.103282499,1.871353676,-2.428433586
-4.103297477,1.87135168,-2.43166903
-4.103312454,1.871349684,-2.434904475
-4.103328793,1.871347506,-2.438434051
-4.103343771,1.871345509,-2.441669496
-4.103358748,1.871343513,-2.44490494
-4.103373726,1.871341516,-2.448140385
-4.103388703,1.87133952,-2.451375829
-4.103405042,1.871337342,-2.454905405
-4.10342002,1.871335346,-2.45814085
-4.103434997,1.871333349,-2.461376294
-4.103449975,1.871331353,-2.464611739
-4.103466314,1.871329175,-2.468141315
-4.103481291,1.871327178,-2.47137676
-4.103496269,1.871325182,-2.474612204
-4.103511246,1.871323186,-2.477847649
-4.103526224,1.871321189,-2.481083093
-4.103542563,1.871319011,-2.484612669
-4.10355754,1.871317015,-2.487848114
-4.103572518,1.871315018,-2.491083558
-4.103587495,1.871313022,-2.494319003
-4.103603835,1.871310844,-2.497848579
-4.103618812,1.871308848,-2.501084024
-4.103633789,1.871306851,-2.504319468
-4.103648767,1.871304855,-2.507554913
-4.103663744,1.871302858,-2.510790357
-4.103680084,1.87130068,-2.514319933
-4.103695061,1.871298684,-2.517555378
-4.103710039,1.871296688,-2.520790823
-4.103725016,1.871294691,-2.524026267
-4.103741355,1.871292513,-2.527555843
-4.103756333,1.871290517,-2.530791288
-4.10377131,1.87128852,-2.534026732
-4.103786288,1.871286524,-2.537262177
-4.103801265,1.871284528,-2.540497621
-4.103817604,1.87128235,-2.544027197
-4.103832582,1.871280353,-2.547262642
-4.103847559,1.871278357,-2.550498087
-4.103862537,1.87127636,-2.553733531
-4.103877514,1.871274364,-2.556968976
-4.103893853,1.871272186,-2.560498552
-4.103908831,1.87127019,-2.563733996
-4.103923808,1.871268193,-2.566969441
-4.103938786,1.871266197,-2.570204885
-4.103955125,1.871264019,-2.573734461
-4.103970102,1.871262022,-2.576969906
-4.10398508,1.871260026,-2.580205351
-4.104000057,1.87125803,-2.583440795
-4.104015035,1.871256033,-2.58667624
-4.104031374,1.871253855,-2.590205816
-4.104046351,1.871251859,-2.59344126
-4.104061329,1.871249862,-2.596676705
-4.104076306,1.871247866,-2.599912149
-4.104092645,1.871245688,-2.603441725
-4.104107623,1.871243692,-2.60667717
-4.1041226,1.871241695,-2.609912615
-4.104137578,1.871239699,-2.613148059
-4.104152555,1.871237702,-2.616383504
-4.104168894,1.871235524,-2.61991308
-4.104183872,1.871233528,-2.623148524
-4.104198849,1.871231532,-2.626383969
-4.104213827,1.871229535,-2.629619413
-4.104230166,1.871227357,-2.633148989
-4.104245143,1.871225361,-2.636384434
-4.104260121,1.871223364,-2.639619879
-4.104275098,1.871221368,-2.642855323
-4.104290076,1.871219372,-2.646090768
-4.104306415,1.871217194,-2.649620344
-4.104321392,1.871215197,-2.652855788
-4.10433637,1.871213201,-2.656091233
-4.104351347,1.871211204,-2.659326678
-4.104367687,1.871209026,-2.662856253
-4.104382664,1.87120703,-2.666091698
-4.104397641,1.871205034,-2.669327143
-4.104412619,1.871203037,-2.672562587
-4.104427596,1.871201041,-2.675798032
-4.104443936,1.871198863,-2.679327608
-4.104458913,1.871196866,-2.682563052
-4.104473891,1.87119487,-2.685798497
-4.104488868,1.871192874,-2.689033942
-4.104505207,1.871190696,-2.692563517
-4.104520185,1.871188699,-2.695798962
-4.104535162,1.871186703,-2.699034407
-4.10455014,1.871184706,-2.702269851
-4.104565117,1.87118271,-2.705505296
-4.104581456,1.871180532,-2.709034872
-4.104596434,1.871178536,-2.712270316
-4.104611411,1.871176539,-2.715505761
-4.104626389,1.871174543,-2.718741206
-4.104642728,1.871172365,-2.722270782
-4.104657705,1.871170368,-2.725506226
-4.104672683,1.871168372,-2.728741671
-4.10468766,1.871166376,-2.731977115
-4.104702638,1.871164379,-2.73521256
-4.104718977,1.871162201,-2.738742136
-4.104733954,1.871160205,-2.74197758
-4.104748932,1.871158208,-2.745213025
-4.104763909,1.871156212,-2.74844847
-4.104778887,1.871154216,-2.751683914
-4.104795226,1.871152038,-2.75521349
-4.104810203,1.871150041,-2.758448935
-4.104825181,1.871148045,-2.761684379
-4.104840158,1.871146048,-2.764919824
-4.104856497,1.87114387,-2.7684494
-4.104871475,1.871141874,-2.771684844
-4.104886452,1.871139878,-2.774920289
-4.10490143,1.871137881,-2.778155734
-4.104916407,1.871135885,-2.781391178
-4.104932746,1.871133707,-2.784920754
-4.104947724,1.87113171,-2.788156199
-4.104962701,1.871129714,-2.791391643
-4.104977679,1.871127718,-2.794627088
-4.104994018,1.87112554,-2.798156664
-4.105008995,1.871123543,-2.801392108
