,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,0.086111,-0.004354,0.006807,0.008945,-0.999927,0.330481,0.168621,-0.149581,0.000000,0.320235,0.167020,-0.137188,0.968122,0.250428,0.178782,-0.271404,0.978573,0.415435,0.159883,-0.158757,0.994375,0.335827,0.168799,-0.030974,0.973479,0.320235,0.167020,-0.137188,0.250428,0.178782,-0.271404,0.415435,0.159883,-0.158757,0.335827,0.168799,-0.030974
32,0.088889,-0.004480,0.006754,0.008743,-0.999929,0.330439,0.168662,-0.149554,0.000000,0.320194,0.167054,-0.137160,0.968122,0.250369,0.178821,-0.271366,0.978573,0.415395,0.159961,-0.158741,0.994375,0.335796,0.168813,-0.030948,0.973479,0.320194,0.167054,-0.137160,0.250369,0.178821,-0.271366,0.415395,0.159961,-0.158741,0.335796,0.168813,-0.030948
33,0.091667,-0.005292,0.007831,0.007248,-0.999929,0.330226,0.168629,-0.149518,0.000000,0.319959,0.166970,-0.137150,0.963081,0.250392,0.178741,-0.271489,0.971578,0.415227,0.160196,-0.158534,0.995693,0.335324,0.168607,-0.030901,0.961656,0.319959,0.166970,-0.137150,0.250392,0.178741,-0.271489,0.415227,0.160196,-0.158534,0.335324,0.168607,-0.030901
34,0.094444,-0.004355,0.006812,0.008526,-0.999931,0.330266,0.168712,-0.149643,0.000000,0.320021,0.167103,-0.137250,0.867179,0.250206,0.178805,-0.271468,0.840646,0.415227,0.160045,-0.158818,0.914770,0.335609,0.168896,-0.031037,0.841728,0.320021,0.167103,-0.137250,0.250206,0.178805,-0.271468,0.415227,0.160045,-0.158818,0.335609,0.168896,-0.031037
35,0.097222,-0.004380,0.006033,0.010047,-0.999922,0.330373,0.168491,-0.149685,0.000000,0.320142,0.166912,-0.137277,0.867179,0.250152,0.178837,-0.271383,0.840646,0.415292,0.159567,-0.158995,0.914770,0.335903,0.168648,-0.031087,0.841728,0.320142,0.166912,-0.137277,0.250152,0.178837,-0.271383,0.415292,0.159567,-0.158995,0.335903,0.168648,-0.031087
36,0.100000,-0.004968,0.006793,0.008005,-0.999933,0.330234,0.168652,-0.149495,0.000000,0.319991,0.167016,-0.137104,0.873061,0.250161,0.178809,-0.271305,0.832756,0.415204,0.160085,-0.158683,0.826120,0.335581,0.168696,-0.030888,0.866438,0.319991,0.167016,-0.137104,0.250161,0.178809,-0.271305,0.415204,0.160085,-0.158683,0.335581,0.168696,-0.030888
37,0.102778,-0.006455,0.007000,0.007349,-0.999928,0.330187,0.168700,-0.149646,0.000000,0.319941,0.167015,-0.137264,0.873061,0.250154,0.179112,-0.271461,0.832756,0.415172,0.160274,-0.158821,0.826120,0.335481,0.168401,-0.031037,0.866438,0.319941,0.167015,-0.137264,0.250154,0.179112,-0.271461,0.415172,0.160274,-0.158821,0.335481,0.168401,-0.031037
38,0.105556,-0.002264,0.007529,0.010958,-0.999909,0.330166,0.168697,-0.149625,0.000000,0.319896,0.167190,-0.137240,0.873061,0.250323,0.178675,-0.271602,0.832756,0.415095,0.159576,-0.158647,0.826120,0.335348,0.169349,-0.031013,0.866438,0.319896,0.167190,-0.137240,0.250323,0.178675,-0.271601,0.415095,0.159576,-0.158647,0.335348,0.169349,-0.031013
39,0.108333,-0.001991,0.007223,0.010920,-0.999912,0.330225,0.168807,-0.149725,0.000000,0.319963,0.167305,-0.137333,0.804150,0.250306,0.178713,-0.271658,0.860720,0.415150,0.159687,-0.158794,0.897025,0.335481,0.169522,-0.031117,0.863445,0.319963,0.167305,-0.137333,0.250306,0.178713,-0.271658,0.415150,0.159687,-0.158794,0.335481,0.169522,-0.031117
40,0.111111,-0.004757,0.007478,0.008214,-0.999927,0.330277,0.168635,-0.149551,0.000000,0.320017,0.167009,-0.137173,0.804150,0.250374,0.178774,-0.271474,0.860720,0.415256,0.160028,-0.158619,0.897025,0.335462,0.168728,-0.030937,0.863445,0.320017,0.167009,-0.137173,0.250374,0.178774,-0.271474,0.415256,0.160028,-0.158619,0.335462,0.168728,-0.030937
41,0.113889,-0.007079,0.007036,0.007306,-0.999924,0.329963,0.168680,-0.149623,0.000000,0.319716,0.166978,-0.137244,0.922235,0.249939,0.179236,-0.271431,0.911259,0.414950,0.160273,-0.158801,0.886876,0.335247,0.168233,-0.031014,0.951435,0.319716,0.166978,-0.137244,0.249939,0.179236,-0.271431,0.414950,0.160273,-0.158801,0.335247,0.168233,-0.031014
42,0.116667,-0.005796,0.006677,0.009495,-0.999916,0.330081,0.168466,-0.149575,0.000000,0.319836,0.166841,-0.137184,0.922154,0.250010,0.179066,-0.271349,0.900158,0.415023,0.159663,-0.158797,0.882692,0.335455,0.168296,-0.030970,0.955262,0.319836,0.166841,-0.137184,0.250010,0.179066,-0.271349,0.415023,0.159663,-0.158797,0.335455,0.168296,-0.030970
43,0.119444,-0.007029,0.007360,0.006839,-0.999925,0.330214,0.168512,-0.149449,0.000000,0.319960,0.166802,-0.137077,0.922154,0.250260,0.178980,-0.271312,0.900158,0.415215,0.160183,-0.158571,0.882692,0.335421,0.168083,-0.030837,0.955262,0.319960,0.166802,-0.137077,0.250260,0.178980,-0.271312,0.415215,0.160183,-0.158571,0.335421,0.168083,-0.030837
44,0.122222,-0.002999,0.007479,0.009682,-0.999921,0.330218,0.168881,-0.149551,0.000000,0.319953,0.167329,-0.137167,0.930648,0.250340,0.178831,-0.271507,0.927759,0.415170,0.159991,-0.158592,0.976513,0.335408,0.169374,-0.030938,0.868066,0.319953,0.167329,-0.137167,0.250340,0.178831,-0.271507,0.415170,0.159991,-0.158592,0.335408,0.169374,-0.030938
45,0.125000,-0.006332,0.007230,0.006361,-0.999934,0.330237,0.168615,-0.149401,0.000000,0.319988,0.166912,-0.137024,0.909362,0.250241,0.178837,-0.271257,0.882881,0.415243,0.160354,-0.158534,0.909011,0.335475,0.168357,-0.030790,0.943818,0.319988,0.166912,-0.137024,0.250241,0.178837,-0.271257,0.415243,0.160354,-0.158534,0.335475,0.168357,-0.030790
46,0.127778,-0.003321,0.006856,0.009767,-0.999923,0.330130,0.169005,-0.149590,0.000000,0.319880,0.167446,-0.137194,0.909362,0.250102,0.179048,-0.271439,0.882881,0.415069,0.160107,-0.158742,0.909011,0.335467,0.169418,-0.030983,0.943818,0.319880,0.167446,-0.137194,0.250102,0.179048,-0.271439,0.415069,0.160107,-0.158742,0.335467,0.169418,-0.030983
47,0.130556,-0.004617,0.006331,0.008390,-0.999934,0.330384,0.168674,-0.149550,0.000000,0.320151,0.167055,-0.137148,0.947883,0.250205,0.178809,-0.271293,0.939629,0.415338,0.160035,-0.158811,0.969077,0.335841,0.168796,-0.030949,0.979913,0.320151,0.167055,-0.137148,0.250205,0.178809,-0.271293,0.415338,0.160035,-0.158811,0.335841,0.168796,-0.030949
48,0.133333,-0.002136,0.006183,0.008698,-0.999941,0.330260,0.168830,-0.149517,0.000000,0.320031,0.167279,-0.137104,0.947883,0.250046,0.178413,-0.271281,0.939629,0.415206,0.160090,-0.158764,0.969077,0.335758,0.169536,-0.030919,0.979913,0.320031,0.167279,-0.137104,0.250046,0.178413,-0.271281,0.415206,0.160090,-0.158764,0.335758,0.169536,-0.030919
49,0.136111,-0.006120,0.007691,0.006930,-0.999928,0.330187,0.168543,-0.149568,0.000000,0.319925,0.166857,-0.137200,0.899480,0.250314,0.178805,-0.271501,0.731130,0.415191,0.160180,-0.158620,0.895529,0.335317,0.168329,-0.030952,0.886263,0.319925,0.166857,-0.137200,0.250314,0.178805,-0.271501,0.415191,0.160180,-0.158620,0.335317,0.168329,-0.030952
50,0.138889,-0.005112,0.007592,0.007892,-0.999927,0.330059,0.168730,-0.149473,0.000000,0.319797,0.167089,-0.137099,0.946599,0.250179,0.178903,-0.271409,0.939578,0.415046,0.160184,-0.158527,0.969683,0.335216,0.168743,-0.030858,0.969813,0.319797,0.167089,-0.137099,0.250179,0.178903,-0.271408,0.415046,0.160184,-0.158527,0.335216,0.168743,-0.030858
51,0.141667,-0.006087,0.008259,0.005622,-0.999932,0.330119,0.168630,-0.149489,0.000000,0.319847,0.166919,-0.137132,0.946599,0.250360,0.178673,-0.271515,0.939578,0.415156,0.160488,-0.158442,0.969683,0.335113,0.168440,-0.030867,0.969813,0.319847,0.166919,-0.137132,0.250360,0.178673,-0.271515,0.415156,0.160488,-0.158442,0.335113,0.168440,-0.030867
52,0.144444,-0.004397,0.006699,0.008477,-0.999932,0.330165,0.168832,-0.149612,0.000000,0.319923,0.167220,-0.137217,0.955184,0.250076,0.178927,-0.271418,0.961141,0.415124,0.160174,-0.158808,0.980768,0.335535,0.169006,-0.031007,0.980769,0.319923,0.167220,-0.137217,0.250076,0.178927,-0.271418,0.415124,0.160174,-0.158808,0.335535,0.169006,-0.031007
53,0.147222,-0.004905,0.008189,0.007697,-0.999925,0.330113,0.168700,-0.149518,0.000000,0.319836,0.167060,-0.137155,0.955184,0.250374,0.178791,-0.271553,0.961141,0.415113,0.160183,-0.158467,0.980768,0.335128,0.168765,-0.030897,0.980769,0.319836,0.167060,-0.137155,0.250374,0.178791,-0.271553,0.415113,0.160183,-0.158467,0.335128,0.168765,-0.030897
54,0.150000,-0.004459,0.006069,0.009383,-0.999928,0.330357,0.168526,-0.149671,0.000000,0.320128,0.166931,-0.137263,0.964651,0.250133,0.178784,-0.271373,0.977963,0.415289,0.159716,-0.158975,0.994050,0.335878,0.168672,-0.031072,0.972292,0.320128,0.166931,-0.137263,0.250133,0.178784,-0.271373,0.415289,0.159716,-0.158975,0.335878,0.168672,-0.031072
55,0.152778,-0.003432,0.006809,0.009222,-0.999928,0.330312,0.168789,-0.149653,0.000000,0.320065,0.167217,-0.137257,0.929044,0.250263,0.178771,-0.271494,0.928764,0.415261,0.159986,-0.158815,0.978517,0.335660,0.169183,-0.031047,0.868541,0.320065,0.167217,-0.137257,0.250263,0.178771,-0.271494,0.415261,0.159986,-0.158815,0.335660,0.169183,-0.031047
56,0.155556,-0.007047,0.006648,0.008215,-0.999919,0.330269,0.168313,-0.149557,0.000000,0.320029,0.166630,-0.137170,0.929044,0.250169,0.179008,-0.271303,0.928764,0.415233,0.159751,-0.158803,0.978517,0.335646,0.167862,-0.030953,0.868541,0.320029,0.166630,-0.137170,0.250169,0.179008,-0.271303,0.415233,0.159751,-0.158803,0.335646,0.167862,-0.030953
57,0.158333,-0.005341,0.007837,0.006394,-0.999935,0.330117,0.168893,-0.149389,0.000000,0.319854,0.167216,-0.137021,0.941229,0.250269,0.178879,-0.271361,0.930762,0.415133,0.160606,-0.158404,0.933430,0.335213,0.168870,-0.030772,0.960505,0.319854,0.167216,-0.137021,0.250269,0.178879,-0.271361,0.415133,0.160606,-0.158404,0.335213,0.168870,-0.030772
58,0.161111,-0.004547,0.007024,0.008326,-0.999930,0.330252,0.168813,-0.149477,0.000000,0.320002,0.167195,-0.137089,0.965924,0.250240,0.178920,-0.271332,0.976251,0.415220,0.160183,-0.158619,0.993210,0.335545,0.168954,-0.030868,0.971541,0.320002,0.167195,-0.137089,0.250240,0.178920,-0.271332,0.415220,0.160183,-0.158619,0.335545,0.168954,-0.030868
59,0.163889,-0.005269,0.007961,0.008944,-0.999914,0.330180,0.168400,-0.149545,0.000000,0.319905,0.166776,-0.137178,0.965924,0.250410,0.178781,-0.271535,0.976251,0.415155,0.159678,-0.158539,0.993210,0.335250,0.168364,-0.030926,0.971541,0.319905,0.166776,-0.137178,0.250410,0.178781,-0.271535,0.415155,0.159678,-0.158539,0.335250,0.168364,-0.030926
60,0.166667,-0.004743,0.006268,0.008257,-0.999935,0.330243,0.168716,-0.149566,0.000000,0.320012,0.167091,-0.137164,0.925398,0.250046,0.178860,-0.271296,0.868407,0.415199,0.160103,-0.158840,0.841078,0.335715,0.168810,-0.030965,0.889848,0.320012,0.167091,-0.137164,0.250046,0.178860,-0.271296,0.415199,0.160103,-0.158840,0.335715,0.168810,-0.030965
61,0.169444,-0.005284,0.006866,0.007535,-0.999934,0.330266,0.168734,-0.149582,0.000000,0.320023,0.167082,-0.137194,0.925398,0.250203,0.178892,-0.271399,0.868407,0.415246,0.160254,-0.158762,0.841078,0.335594,0.168710,-0.030975,0.889848,0.320023,0.167082,-0.137194,0.250203,0.178892,-0.271399,0.415246,0.160254,-0.158762,0.335594,0.168710,-0.030975
62,0.172222,-0.003680,0.006777,0.009274,-0.999927,0.330223,0.168859,-0.149534,0.000000,0.319977,0.167281,-0.137138,0.894409,0.250168,0.178909,-0.271365,0.872742,0.415170,0.160051,-0.158705,0.862295,0.335578,0.169193,-0.030928,0.857758,0.319977,0.167281,-0.137138,0.250168,0.178909,-0.271365,0.415170,0.160051,-0.158705,0.335578,0.169193,-0.030928
63,0.175000,-0.005474,0.006791,0.009780,-0.999914,0.330339,0.168358,-0.149674,0.000000,0.320091,0.166746,-0.137284,0.886034,0.250301,0.178926,-0.271472,0.862608,0.415278,0.159500,-0.158872,0.861038,0.335687,0.168261,-0.031067,0.861273,0.320091,0.166746,-0.137284,0.250301,0.178926,-0.271472,0.415278,0.159500,-0.158872,0.335687,0.168261,-0.031067
64,0.177778,-0.004080,0.006432,0.009201,-0.999929,0.330177,0.168679,-0.149534,0.000000,0.319939,0.167090,-0.137132,0.886034,0.250037,0.178816,-0.271302,0.862608,0.415119,0.159893,-0.158770,0.861038,0.335612,0.168919,-0.030931,0.861273,0.319939,0.167090,-0.137132,0.250037,0.178816,-0.271302,0.415119,0.159893,-0.158770,0.335612,0.168919,-0.030931
65,0.180556,-0.003912,0.007385,0.009907,-0.999916,0.330308,0.168562,-0.149629,0.000000,0.320045,0.166992,-0.137246,0.968279,0.250414,0.178770,-0.271552,0.978543,0.415255,0.159651,-0.158701,0.995550,0.335519,0.168835,-0.031017,0.973960,0.320045,0.166992,-0.137246,0.250414,0.178770,-0.271552,0.415255,0.159651,-0.158701,0.335519,0.168835,-0.031017
66,0.183333,-0.004832,0.006736,0.009770,-0.999918,0.330249,0.168557,-0.149585,0.000000,0.320002,0.166961,-0.137192,0.936233,0.250196,0.178968,-0.271387,0.930664,0.415187,0.159689,-0.158781,0.895165,0.335612,0.168612,-0.030979,0.958802,0.320002,0.166961,-0.137192,0.250196,0.178968,-0.271387,0.415187,0.159689,-0.158781,0.335612,0.168612,-0.030979
67,0.186111,-0.004517,0.007750,0.006206,-0.999941,0.330245,0.168959,-0.149527,0.000000,0.319984,0.167298,-0.137154,0.936233,0.250371,0.178715,-0.271500,0.930664,0.415262,0.160688,-0.158543,0.895165,0.335363,0.169134,-0.030911,0.958802,0.319984,0.167298,-0.137154,0.250371,0.178715,-0.271500,0.415262,0.160688,-0.158543,0.335363,0.169134,-0.030911
68,0.188889,-0.007579,0.007186,0.006412,-0.999925,0.330164,0.168449,-0.149494,0.000000,0.319916,0.166716,-0.137120,0.870778,0.250160,0.178982,-0.271318,0.820383,0.415168,0.160203,-0.158653,0.839229,0.335411,0.167894,-0.030884,0.879413,0.319916,0.166716,-0.137120,0.250160,0.178982,-0.271318,0.415168,0.160203,-0.158653,0.335411,0.167894,-0.030884
69,0.191667,-0.005300,0.007625,0.007491,-0.999929,0.330033,0.168726,-0.149558,0.000000,0.319771,0.167072,-0.137185,0.870778,0.250153,0.178880,-0.271495,0.820383,0.415027,0.160252,-0.158609,0.839229,0.335181,0.168700,-0.030942,0.879413,0.319771,0.167072,-0.137185,0.250153,0.178880,-0.271495,0.415027,0.160252,-0.158609,0.335181,0.168700,-0.030942
70,0.194444,-0.004971,0.007170,0.008381,-0.999927,0.330214,0.168695,-0.149645,0.000000,0.319961,0.167067,-0.137262,0.854264,0.250240,0.178913,-0.271515,0.793622,0.415184,0.160064,-0.158769,0.873410,0.335472,0.168735,-0.031035,0.851088,0.319961,0.167067,-0.137262,0.250240,0.178913,-0.271515,0.415184,0.160064,-0.158769,0.335472,0.168735,-0.031035
71,0.197222,-0.005498,0.006561,0.007797,-0.999933,0.330066,0.168796,-0.149814,0.000000,0.319830,0.167144,-0.137420,0.935843,0.249934,0.179049,-0.271577,0.897171,0.415036,0.160276,-0.159049,0.869168,0.335467,0.168718,-0.031210,0.991881,0.319830,0.167144,-0.137420,0.249934,0.179049,-0.271577,0.415036,0.160276,-0.159049,0.335467,0.168718,-0.031210
72,0.200000,-0.004281,0.006658,0.008978,-0.999928,0.330287,0.168689,-0.149662,0.000000,0.320045,0.167090,-0.137266,0.935843,0.250198,0.178837,-0.271463,0.897171,0.415237,0.159943,-0.158863,0.869168,0.335668,0.168884,-0.031057,0.991881,0.320045,0.167090,-0.137266,0.250198,0.178837,-0.271463,0.415237,0.159943,-0.158863,0.335668,0.168884,-0.031057
73,0.202778,-0.004590,0.007239,0.009337,-0.999920,0.330314,0.168946,-0.149470,0.000000,0.320055,0.167348,-0.137087,0.881211,0.250374,0.179227,-0.271358,0.835803,0.415268,0.160146,-0.158577,0.891559,0.335557,0.169065,-0.030859,0.940338,0.320055,0.167348,-0.137087,0.250374,0.179227,-0.271358,0.415268,0.160146,-0.158577,0.335557,0.169065,-0.030859
74,0.205556,-0.002587,0.006220,0.008985,-0.999937,0.330538,0.168972,-0.149493,0.000000,0.320307,0.167416,-0.137082,0.897212,0.250339,0.178712,-0.271255,0.870023,0.415480,0.160193,-0.158741,0.913331,0.336027,0.169568,-0.030895,0.944667,0.320307,0.167416,-0.137082,0.250339,0.178712,-0.271255,0.415480,0.160193,-0.158741,0.336027,0.169568,-0.030895
75,0.208333,-0.006962,0.007970,0.004819,-0.999932,0.330275,0.168661,-0.149599,0.000000,0.320013,0.166912,-0.137240,0.897212,0.250432,0.178786,-0.271563,0.870023,0.415320,0.160673,-0.158614,0.913331,0.335336,0.168273,-0.030981,0.944667,0.320013,0.166912,-0.137240,0.250432,0.178786,-0.271563,0.415320,0.160673,-0.158614,0.335336,0.168273,-0.030981
76,0.211111,-0.002322,0.006977,0.009936,-0.999924,0.330364,0.168882,-0.149507,0.000000,0.320111,0.167351,-0.137111,0.936564,0.250367,0.178709,-0.271394,0.934014,0.415303,0.159935,-0.158623,0.982390,0.335676,0.169530,-0.030901,0.882385,0.320111,0.167351,-0.137111,0.250367,0.178709,-0.271394,0.415303,0.159935,-0.158623,0.335676,0.169530,-0.030901
77,0.213889,-0.002093,0.007042,0.009399,-0.999929,0.330281,0.168873,-0.149670,0.000000,0.320028,0.167338,-0.137274,0.936564,0.250289,0.178559,-0.271572,0.934014,0.415230,0.160014,-0.158770,0.982390,0.335576,0.169583,-0.031063,0.882385,0.320028,0.167338,-0.137274,0.250289,0.178559,-0.271572,0.415230,0.160014,-0.158770,0.335576,0.169583,-0.031063
78,0.216667,-0.006004,0.007705,0.007552,-0.999924,0.330290,0.168538,-0.149547,0.000000,0.320026,0.166868,-0.137178,0.955097,0.250432,0.178872,-0.271483,0.949973,0.415284,0.160067,-0.158595,0.908434,0.335418,0.168344,-0.030930,0.982767,0.320026,0.166868,-0.137178,0.250432,0.178872,-0.271483,0.415284,0.160067,-0.158595,0.335418,0.168344,-0.030930
79,0.219444,-0.003229,0.006438,0.010764,-0.999916,0.330459,0.168537,-0.149669,0.000000,0.320216,0.167001,-0.137265,0.884621,0.250348,0.178720,-0.271453,0.874064,0.415373,0.159468,-0.158892,0.922957,0.335897,0.168959,-0.031068,0.935725,0.320216,0.167001,-0.137265,0.250348,0.178720,-0.271453,0.415373,0.159468,-0.158892,0.335897,0.168959,-0.031068
80,0.222222,-0.003680,0.008681,0.007760,-0.999925,0.330046,0.168828,-0.149538,0.000000,0.319757,0.167220,-0.137181,0.884621,0.250427,0.178631,-0.271674,0.874064,0.415054,0.160276,-0.158384,0.922957,0.334947,0.169184,-0.030912,0.935725,0.319757,0.167220,-0.137181,0.250427,0.178631,-0.271674,0.415054,0.160276,-0.158384,0.334947,0.169184,-0.030912
81,0.225000,-0.006178,0.007300,0.006643,-0.999932,0.330224,0.168714,-0.149491,0.000000,0.319973,0.167021,-0.137115,0.844782,0.250251,0.178944,-0.271361,0.932971,0.415227,0.160402,-0.158610,0.938497,0.335447,0.168489,-0.030880,0.937859,0.319973,0.167021,-0.137115,0.250251,0.178944,-0.271361,0.415227,0.160402,-0.158610,0.335447,0.168489,-0.030880
82,0.227778,-0.006427,0.006813,0.007655,-0.999927,0.330088,0.168592,-0.149679,0.000000,0.319846,0.166914,-0.137293,0.900948,0.250016,0.179047,-0.271464,0.867531,0.415065,0.160114,-0.158885,0.839059,0.335427,0.168295,-0.031072,0.977054,0.319846,0.166914,-0.137293,0.250016,0.179047,-0.271464,0.415065,0.160114,-0.158885,0.335427,0.168295,-0.031072
83,0.230556,-0.005990,0.007468,0.008339,-0.999919,0.330304,0.168277,-0.149480,0.000000,0.320043,0.166624,-0.137106,0.900948,0.250404,0.178736,-0.271378,0.867531,0.415281,0.159673,-0.158569,0.839059,0.335489,0.168077,-0.030866,0.977054,0.320043,0.166624,-0.137106,0.250404,0.178736,-0.271378,0.415281,0.159673,-0.158569,0.335489,0.168077,-0.030866
84,0.233333,-0.004160,0.006773,0.008537,-0.999932,0.330312,0.168816,-0.149442,0.000000,0.320068,0.167212,-0.137048,0.822669,0.250242,0.178864,-0.271264,0.892189,0.415272,0.160143,-0.158621,0.916413,0.335665,0.169046,-0.030836,0.850549,0.320068,0.167212,-0.137048,0.250242,0.178864,-0.271264,0.415272,0.160143,-0.158621,0.335665,0.169046,-0.030836
85,0.236111,-0.004599,0.005604,0.010257,-0.999921,0.330367,0.168520,-0.149548,0.000000,0.320147,0.166939,-0.137131,0.822669,0.250047,0.178954,-0.271172,0.892189,0.415275,0.159565,-0.158934,0.916413,0.335999,0.168621,-0.030954,0.850549,0.320147,0.166939,-0.137131,0.250047,0.178954,-0.271172,0.415275,0.159565,-0.158934,0.335999,0.168621,-0.030954
86,0.238889,-0.002215,0.006994,0.010511,-0.999918,0.330274,0.168768,-0.149423,0.000000,0.320019,0.167253,-0.137027,0.977454,0.250292,0.178663,-0.271315,0.956427,0.415202,0.159722,-0.158534,0.971582,0.335583,0.169435,-0.030817,0.991320,0.320019,0.167253,-0.137027,0.250292,0.178663,-0.271315,0.415202,0.159722,-0.158534,0.335583,0.169435,-0.030817
87,0.241667,-0.007082,0.007260,0.007166,-0.999923,0.330096,0.168548,-0.149560,0.000000,0.319843,0.166843,-0.137185,0.907405,0.250124,0.179082,-0.271404,0.876967,0.415089,0.160164,-0.158700,0.857445,0.335327,0.168102,-0.030949,0.859584,0.319843,0.166843,-0.137185,0.250124,0.179082,-0.271404,0.415089,0.160164,-0.158700,0.335327,0.168102,-0.030949
88,0.244444,-0.004809,0.007659,0.007854,-0.999928,0.330126,0.168748,-0.149556,0.000000,0.319862,0.167114,-0.137182,0.907405,0.250261,0.178841,-0.271508,0.876967,0.415114,0.160203,-0.158594,0.857445,0.335267,0.168834,-0.030940,0.859584,0.319862,0.167114,-0.137182,0.250261,0.178841,-0.271508,0.415114,0.160203,-0.158594,0.335267,0.168834,-0.030940
89,0.247222,-0.006185,0.007577,0.006905,-0.999928,0.330168,0.168421,-0.149570,0.000000,0.319909,0.166733,-0.137199,0.882268,0.250267,0.178695,-0.271483,0.837683,0.415171,0.160064,-0.158642,0.752676,0.335325,0.168192,-0.030955,0.954969,0.319909,0.166733,-0.137199,0.250267,0.178695,-0.271483,0.415171,0.160064,-0.158642,0.335325,0.168192,-0.030955
90,0.250000,-0.007124,0.007729,0.006782,-0.999922,0.330119,0.168415,-0.149696,0.000000,0.319857,0.166702,-0.137331,0.936011,0.250254,0.178897,-0.271615,0.911812,0.415127,0.160097,-0.158756,0.962233,0.335238,0.167965,-0.031080,0.839569,0.319857,0.166702,-0.137331,0.250254,0.178897,-0.271615,0.415127,0.160097,-0.158756,0.335238,0.167965,-0.031080
91,0.252778,-0.006648,0.007508,0.006259,-0.999930,0.330277,0.168498,-0.149554,0.000000,0.320022,0.166785,-0.137184,0.936011,0.250348,0.178780,-0.271449,0.911812,0.415290,0.160260,-0.158645,0.962233,0.335449,0.168167,-0.030941,0.839569,0.320022,0.166785,-0.137184,0.250348,0.178780,-0.271449,0.415290,0.160260,-0.158645,0.335449,0.168167,-0.030941
92,0.255556,-0.005548,0.005457,0.010365,-0.999916,0.330410,0.168508,-0.149617,0.000000,0.320193,0.166905,-0.137200,0.854778,0.250059,0.179190,-0.271199,0.749383,0.415314,0.159553,-0.159043,0.902705,0.336075,0.168382,-0.031025,0.874103,0.320193,0.166905,-0.137200,0.250059,0.179190,-0.271199,0.415314,0.159553,-0.159043,0.336075,0.168382,-0.031025
